"PISA_math_change","PISA_sci_change","PISA_read_change","PISA_math_change_3","PISA_sci_change_3","PISA_read_change_3","PISA_math_new_3","PISA_sci_new_3","PISA_read_new_3","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1","Trade_change","Life_expectancy_change","Gross_capital_formation_change","Govt_expenditure_total_change","Pre_pri_sch_expectancy_change","Pri_sch_expectancy_change","Sec_sch_expectancy_change","Pri_sec_sch_expectancy_change","Gov_ex_change","Gov_ex_percent_GDP_change","Population_change","Pre_pri_enrolment_num_change","Pri_enrolment_num_change","Sec_enrolment_num_change","Ter_enrolment_num_change","Pre_pri_enrolment_ratio_change","Pri_enrolment_ratio_change","Sec_enrolment_ratio_change"
0,-0.0589114270736985,-0.0347622054240323,0,0,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.00885638688813757,NA,NA,NA,NA,NA,NA,NA,NA,0.0196640245044641,NA,NA,NA,NA,NA,NA,NA
0,0,0,0.147793837217686,0.202046936450245,0.317357379834502,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA,NA,0.00856008450806831,NA,NA,NA,-0.185015027908974,NA,NA,NA,NA,0.0219416433420907,NA,-0.163171938704319,NA,NA,NA,-0.185016431399511,NA
0,0,0,0,0,0,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA,NA,0.00839713955504196,NA,NA,NA,-0.171895579790317,NA,NA,NA,NA,0.0301974969416252,NA,-0.144180309614495,NA,NA,NA,-0.171898022638718,NA
-0.128763400207782,-0.11600853072694,-0.213566377594642,0,-0.0589114270736985,-0.0347622054240323,520.507587098788,488.901259933333,482.767545861403,4055179566,NA,179.4265792,NA,NA,0.00836303074801667,NA,NA,NA,-0.00357069012135583,NA,NA,NA,NA,0.0397996569097149,NA,0.0323782961460446,NA,NA,NA,-0.00356291136667502,NA
0.147793837217686,0.131232636014394,0.27156313197983,0,0,0,520.507587098788,488.901259933333,482.767545861403,4515558808,8.832277813,190.6838143,3.868380295,NA,0.00845350571854797,NA,NA,NA,2.34480474392843,NA,NA,NA,NA,0.0459935461620102,NA,2.44822865917895,NA,NA,NA,2.30350750925039,NA
-0.383544681858592,-0.133738226075639,-0.213566377594642,0,0,0,520.507587098788,488.901259933333,482.767545861403,5226778809,1.414117981,211.3820742,-2.875203167,NA,0.00857635953789803,NA,NA,NA,0.336628536796041,NA,NA,NA,NA,0.0477904513872757,NA,0.41736913191452,NA,NA,NA,0.353332990272784,NA
0.129139172323471,-0.0269633654203248,0,-0.128763400207782,-0.11600853072694,-0.213566377594642,453.48526035,432.184543097917,379.664629871528,6209137625,11.22971482,242.0313132,7.207967218,NA,0.00874788287265802,NA,NA,NA,0.121051889327047,0.399984062263424,0.154099511224833,NA,NA,0.0441627759384357,NA,0.171680620150938,0.460588112412293,0.0548243104040288,NA,0.121051586413256,0.399970834073771
0,0.0277105346932515,0,0.147793837217686,0.131232636014394,0.27156313197983,520.507587098788,488.901259933333,482.767545861403,6971285595,5.357403251,263.7336019,2.253310644,NA,0.00896628124350898,NA,NA,NA,-0.0627150734972125,0.059691297707027,-0.0451205427936804,NA,NA,0.0375138453664066,NA,-0.0251285398978182,0.0961575350072185,NA,NA,-0.0627144126786123,0.0596951971985557
0,0,0,-0.383544681858592,-0.133738226075639,-0.213566377594642,320.8696702,423.516472703704,379.664629871528,9747879532,13.82631955,359.6931579,11.02278717,NA,0.0091954022988506,NA,NA,NA,0.0366769226587202,0.517757226882481,0.113411395116379,NA,NA,0.030356419711224,NA,0.0811080529190966,0.545531296962329,NA,NA,0.0366764937249165,0.517761098705954
0,0,0,0.129139172323471,-0.0269633654203248,0,362.306513833333,412.097043288667,379.664629871528,10109225814,3.924983822,364.660679,1.594215458,NA,0.00933260803046271,NA,NA,NA,0.00219277041300449,0.00259533429675299,0.00228029990175987,NA,NA,0.0252519866323404,NA,0.0104874376487168,0.0287443598343731,NA,NA,-0.0271818922425597,0.00840427139564268
