"Pre_pri_sch_expectancy","Pri_sch_expectancy","Sec_sch_expectancy","Pri_sec_sch_expectancy","Lower_sec_completion","Upper_sec_completion","Gov_ex","Gov_ex_percent_GDP","Literacy_rate","Population","Pre_pri_enrolment_num","Pre_pri_enrolment_ratio","Pri_enrolment_num","Pri_enrolment_ratio","Pri_completion","Sec_enrolment_num","Sec_enrolment_ratio","Ter_enrolment_num","STEM_ter_grad_percent","Illiterate_pop","Pre_pri_pupil_teacher_ratio","Gov_ex_capita","Gov_ex_3","Log_gov_ex_3","PISA_math_new","PISA_sci_new","PISA_read_new","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1"
1.5312,4.13957,6.57996,10.71954,NA,NA,NA,NA,NA,2904429,103000,51.03988,270990,103.48936,NA,408591,82.24953,19670,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,1897050133,1.78064396,639.8659094,-0.290595348
1.58129,4.14711,6.82264,10.96975,NA,NA,NA,NA,NA,2964762,107450,52.70955,272935,103.67783,NA,426837,85.28297,21285,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,2097326250,5.637243178,693.8734746,3.614655544
1.60488,4.14253,7.0714,11.21393,NA,NA,NA,NA,NA,3022635,110603,53.49601,274660,103.56321,NA,446794,88.39249,21995,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,2080796250,-0.787842655,674.7933831,-2.74949638
1.62087,4.05826,7.02657,11.08483,NA,NA,NA,NA,NA,3083605,113840,54.02891,272585,101.45642,NA,449699,87.83218,22403,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,2051236250,-1.420039655,652.7743214,-3.262522334
1.64868,3.98339,7.08829,11.07168,NA,NA,NA,NA,NA,3142336,118277,54.95607,271728,99.58477,NA,459880,88.60357,23784,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,2253090000,9.83654897,697.9955966,6.923617284
1.65342,3.9775,7.10426,11.08176,NA,NA,NA,NA,NA,3227943,121000,55.11399,275426,99.43751,NA,465958,88.8033,25201,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,2028553750,-9.575640169,617.2304355,-11.1879053
1.68235,3.97807,7.20654,11.18461,NA,NA,NA,NA,NA,3286542,125312,56.0783,278446,99.45175,NA,475074,90.08174,25964,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,1099559028,-28.00214166,336.5869945,-27.56682084
1.74008,4.04933,7.27149,11.32082,NA,NA,NA,NA,NA,3266790,130007,58.00259,284616,101.23315,NA,478285,90.89363,27461,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,652174990.8,-7.187110916,200.8522198,-6.622551214
1.44211,3.98223,6.21718,10.19942,NA,NA,NA,NA,NA,3247039,108889,48.07037,281770,99.55587,NA,404904,77.71476,28001,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,1185315468,9.559411694,367.2792251,10.22994936
1.07408,3.94081,5.62681,9.56762,NA,NA,NA,NA,NA,3227287,81117,35.80265,279500,98.52026,NA,362439,70.33512,32684,NA,NA,NA,NA,NA,NA,381.409301675758,424.668252925,364.395148439506,1880951520,8.302866591,586.4163396,8.969761653
1.07574,4.06115,5.49832,9.55948,NA,NA,153.84151,NA,NA,3207536,80395,35.85797,288092,101.52879,NA,350912,68.72906,30185,NA,NA,NA,47.9625201400701,NA,NA,381.409301675758,424.668252925,364.395148439506,2392764853,13.32233332,750.6044492,14.02449593
1.10789,4.16175,5.49428,9.65603,NA,NA,192.9318,NA,NA,3187784,80384,36.92981,295137,104.04384,NA,349430,68.67849,28331,NA,NA,NA,60.5222311172903,NA,NA,381.409301675758,424.668252925,364.395148439506,3199642580,9.099999444,1009.977668,9.780179886
1.19681,4.25207,5.4294,9.68148,NA,NA,170.14547,NA,NA,3168033,84536,39.89354,301051,106.30182,NA,346945,67.86755,30086,NA,NA,NA,53.7069752745631,NA,NA,381.409301675758,424.668252925,364.395148439506,2258515610,-10.91998409,717.3805674,-10.36110498
1.22871,4.3208,5.54929,9.87009,NA,NA,166.11302,11.15339,NA,3148281,84232,40.95692,303632,108.01988,NA,350157,69.36618,34257,NA,NA,NA,52.7630856330804,47.9625201400701,3.87041987548583,381.409301675758,385.992542684749,364.395148439506,2545967253,8.830087709,813.7902636,9.51715258
1.21579,4.28685,5.70509,9.99193,NA,NA,189.20666,9.62407,NA,3128530,80813,40.52646,299164,107.17116,NA,359509,71.31361,35902,NA,NA,NA,60.4778154596568,60.5222311172903,4.10301075402533,381.409301675758,385.992542684749,364.395148439506,3212119044,12.88989673,1033.241693,13.60715645
1.26098,4.22398,5.72357,9.94756,NA,NA,216.97403,9.68246,NA,3108778,81734,42.31086,292070,105.73665,NA,363502,71.54467,38502,NA,NA,NA,69.7939930094719,53.7069752745631,3.98354288646047,381.409301675758,385.992542684749,364.395148439506,3480355189,6.950036134,1126.683318,7.633866403
1.31632,4.15534,5.6573,9.81265,92.87,46.58,221.54217,10.13703,NA,3089027,82880,44.13253,283249,104.19619,95.19,365664,71.07808,40125,7.03273,NA,NA,71.7190785318484,52.7630856330804,3.96581181046574,381,376.4532138,348.8495124,3922099471,8.290070027,1281.659393,9.311123961
1.34835,4.0993,5.78988,9.88918,NA,NA,241.90321,10.58193,98.71298,3060173,82290,45.23442,274233,102.96737,NA,377936,72.53716,40859,5.91165,28139,NA,79.0488674986676,60.4778154596568,4.10227661117358,380.606784055556,378.035717322222,352.845855733333,4348070165,4.53996064,1425.124849,4.853922135
1.34385,4.05646,5.82948,9.88594,NA,NA,227.96051,9.88692,NA,3051010,78473,44.79487,263603,101.41151,NA,382205,72.86855,42160,NA,NA,NA,74.7164086646717,69.7939930094719,4.24554794602873,380.213568111111,379.618220844444,356.842199066667,5611492283,5.530050778,1846.118813,5.925630153
1.43688,3.98159,6.01948,10.00107,NA,NA,242.14351,10.5736,NA,3039616,81285,48.33761,252829,100.00514,NA,396095,75.24344,43600,6.13226,NA,NA,79.6625330304881,71.7190785318484,4.27275680052066,379.820352166667,381.200724366667,360.8385424,7184681399,5.509998693,2373.579844,5.951880823
1.47652,3.90609,5.98418,9.89027,NA,NA,262.75453,10.70316,NA,3026939,79906,49.66252,240487,98.178,NA,393503,74.80221,53014,NA,NA,NA,86.805360134446,79.0488674986676,4.37006623716029,379.427136222222,382.783227888889,364.834885733333,8052075642,5.529914809,2673.787283,6.071390912
