Country Name,Country Code,Time,Time Code,"Completion rate, lower secondary education, adjusted gender parity index (GPIA) [UIS.CR.2.GPIA]","Completion rate, lower secondary education, adjusted location parity index (LPIA) [UIS.CR.2.LPIA]","Completion rate, lower secondary education, adjusted wealth parity index (WPIA) [UIS.CR.2.WPIA]","Completion rate, lower secondary education, both sexes (%) [UIS.CR.2]","Enrolment in lower secondary education, both sexes (number) [UIS.E.2]","Enrolment in secondary education, both sexes (number) [SE.SEC.ENRL]","Gross enrolment ratio, lower secondary, both sexes (%) [SE.SEC.ENRR.LO]","Gross enrolment ratio, primary and lower secondary, both sexes (%) [UIS.GER.12]","School life expectancy, primary and secondary, both sexes (years) [UIS.SLE.123]","School life expectancy, primary and lower secondary, gender parity index (GPI) [UIS.SLE.1T2.GPI]","School life expectancy, primary and lower secondary, both sexes (years) [UIS.SLE.12]","School life expectancy, secondary, both sexes (years) [UIS.SLE.23]","Gross enrolment ratio, secondary, both sexes (%) [SE.SEC.ENRR]","Completion rate, upper secondary education, adjusted gender parity index (GPIA) [UIS.CR.3.GPIA]","Completion rate, upper secondary education, adjusted location parity index (LPIA) [UIS.CR.3.LPIA]","Completion rate, upper secondary education, adjusted wealth parity index (WPIA) [UIS.CR.3.WPIA]","Completion rate, upper secondary education, both sexes (%) [UIS.CR.3]"
Lesotho,LSO,1977,YR1977,..,..,..,..,..,18955,..,..,7.54504,..,..,0.69396,13.38337,..,..,..,..
Liberia,LBR,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Libya,LBY,1977,YR1977,..,..,..,..,..,200063,..,..,11.02168,..,..,3.68237,57.83572,..,..,..,..
Liechtenstein,LIE,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,1977,YR1977,..,..,..,..,..,23314,..,..,9.94765,..,..,4.25996,60.76735,..,..,..,..
"Macao SAR, China",MAC,1977,YR1977,..,..,..,..,..,14305,..,..,8.10906,..,..,2.22133,37.02218,..,..,..,..
Madagascar,MDG,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,1977,YR1977,..,..,..,..,..,97119,..,..,4.48639,..,..,0.78589,13.09813,..,..,..,..
Malaysia,MYS,1977,YR1977,..,..,..,..,..,988914,..,..,8.84766,..,..,3.12324,52.05402,..,..,..,..
Maldives,MDV,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,MLI,1977,YR1977,..,..,..,..,..,61999,..,..,2.10141,..,..,0.44796,7.46595,..,..,..,..
Malta,MLT,1977,YR1977,..,..,..,..,..,30285,..,..,11.24052,..,..,4.96861,71.77391,..,..,..,..
Marshall Islands,MHL,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritius,MUS,1977,YR1977,..,..,..,..,..,79961,..,..,9.29836,..,..,3.26143,46.59189,..,..,..,..
Mexico,MEX,1977,YR1977,..,..,..,..,..,3263507,..,..,9.3318,..,..,2.26905,37.81752,..,..,..,..
"Micronesia, Fed. Sts.",FSM,1977,YR1977,..,..,..,..,..,15071,..,..,22.03919,..,..,9.77684,162.94735,..,..,..,..
Moldova,MDA,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,MNE,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,1977,YR1977,..,..,..,..,..,529027,..,..,4.3172,..,..,1.13709,16.24411,..,..,..,..
Mozambique,MOZ,1977,YR1977,..,..,..,..,..,46656,..,..,4.49508,..,..,0.18865,2.69505,..,..,..,..
Myanmar,MMR,1977,YR1977,..,..,..,..,..,896312,..,..,5.24967,..,..,1.19455,19.90916,..,..,..,..
Namibia,NAM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nauru,NRU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,1977,YR1977,..,..,..,..,..,308797,..,..,..,..,..,..,..,..,..,..,..
Netherlands,NLD,1977,YR1977,..,..,..,..,..,1330981,..,..,11.39327,..,..,5.4519,90.43821,..,..,..,..
New Caledonia,NCL,1977,YR1977,..,..,..,..,..,9993,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,1977,YR1977,..,..,..,..,..,360444,..,..,12.27933,..,..,5.7468,82.37553,..,..,..,..
Nicaragua,NIC,1977,YR1977,..,..,..,..,..,105429,..,..,6.02052,..,..,1.4834,29.66806,..,..,..,..
Niger,NER,1977,YR1977,..,..,..,..,..,18098,..,..,1.22774,..,..,0.15877,2.27601,..,..,..,..
Nigeria,NGA,1977,YR1977,..,..,..,..,..,745717,..,..,4.14171,..,..,0.53562,7.65175,..,..,..,..
North Macedonia,MKD,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,1977,YR1977,..,..,..,..,..,330163,..,..,11.38072,..,..,5.32334,88.72225,..,..,..,..
Oman,OMN,1977,YR1977,..,..,..,..,..,2579,..,..,2.59391,..,..,0.12705,2.11744,..,..,..,..
Pakistan,PAK,1977,YR1977,..,..,..,..,..,2009469,..,..,4.09784,..,..,1.26093,18.0133,..,..,..,..
Palau,PLW,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,PAN,1977,YR1977,..,..,..,..,..,154423,..,..,10.32629,..,..,3.55971,59.32843,..,..,..,..
Papua New Guinea,PNG,1977,YR1977,..,..,..,..,..,43246,..,..,3.49844,..,..,0.59135,9.85581,..,..,..,..
Paraguay,PRY,1977,YR1977,..,..,..,..,..,92437,..,..,7.22199,..,..,1.33589,22.26491,..,..,..,..
Peru,PER,1977,YR1977,..,..,..,..,..,969129,..,..,9.20763,..,..,2.49359,49.87189,..,..,..,..
Philippines,PHL,1977,YR1977,..,..,..,..,..,2508519,..,..,9.06226,..,..,2.41116,60.27894,..,..,..,..
Poland,POL,1977,YR1977,..,..,..,..,..,3004349,..,..,10.82164,..,..,4.74731,79.12189,..,..,..,..
Portugal,PRT,1977,YR1977,..,..,..,..,..,482593,..,..,10.22697,..,..,3.01931,57.35159,..,..,..,..
Puerto Rico,PRI,1977,YR1977,..,..,..,..,..,294500,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,1977,YR1977,..,..,..,..,..,10347,..,..,10.85288,..,..,3.12788,55.16635,..,..,..,..
Romania,ROU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,1977,YR1977,..,..,..,..,..,21890,..,..,3.7775,..,..,0.20868,3.47801,..,..,..,..
Samoa,WSM,1977,YR1977,..,..,..,..,..,22008,..,..,10.72692,..,..,4.91422,70.2032,..,..,..,..
San Marino,SMR,1977,YR1977,..,..,..,..,..,1221,..,..,8.63677,..,..,3.39402,42.4253,..,..,..,..
Sao Tome and Principe,STP,1977,YR1977,..,..,..,..,..,3829,..,..,6.96515,..,..,1.89944,27.13486,..,..,..,..
Saudi Arabia,SAU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,1977,YR1977,..,..,..,..,..,53913,..,..,3.57587,..,..,0.86137,12.30525,..,..,..,..
Singapore,SGP,1977,YR1977,..,..,..,..,..,187034,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,1977,YR1977,..,..,..,..,..,3179,..,..,5.44427,..,..,0.69417,13.88331,..,..,..,..
Somalia,SOM,1977,YR1977,..,..,..,..,..,12389,..,..,2.35688,..,..,0.1498,3.1942,..,..,..,..
South Africa,ZAF,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Sudan,SSD,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,1977,YR1977,..,..,..,..,..,3381677,..,..,10.80974,..,..,5.25963,74.71399,..,..,..,..
Sri Lanka,LKA,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,LCA,1977,YR1977,..,..,..,..,..,4528,..,..,10.21373,..,..,1.52028,30.40559,..,..,..,..
St. Martin (French part),MAF,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sudan,SDN,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,1977,YR1977,..,..,..,..,..,32247,..,..,11.10917,..,..,3.38059,48.2942,..,..,..,..
Sweden,SWE,1977,YR1977,..,..,..,..,..,513287,..,..,10.69476,..,..,4.67167,77.86112,..,..,..,..
Switzerland,CHE,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,1977,YR1977,..,..,..,..,..,512187,..,..,8.52842,..,..,2.75577,45.68913,..,..,..,..
Tajikistan,TJK,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,1977,YR1977,..,..,..,..,..,70944,..,..,5.19323,..,..,0.19817,3.3029,..,..,..,..
Thailand,THA,1977,YR1977,..,..,..,..,..,1324539,..,..,7.15646,..,..,1.36364,27.27283,..,..,..,..
Timor-Leste,TLS,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,TGO,1977,YR1977,..,..,..,..,..,81169,..,..,7.29447,..,..,1.52626,21.80368,..,..,..,..
Tonga,TON,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,1977,YR1977,..,..,..,..,..,77362,..,..,10.57197,..,..,2.78375,55.67494,..,..,..,..
Tunisia,TUN,1977,YR1977,..,..,..,..,..,213046,..,..,7.49185,..,..,1.51222,21.60311,..,..,..,..
Turkey,TUR,1977,YR1977,..,..,..,..,..,1887524,..,..,7.36299,..,..,2.07503,34.58377,..,..,..,..
Turkmenistan,TKM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,1977,YR1977,..,..,..,..,..,671,..,..,12.14903,..,..,3.5844,71.68803,..,..,..,..
Tuvalu,TUV,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,1977,YR1977,..,..,..,..,..,70647,..,..,3.78661,..,..,0.27926,4.65437,..,..,..,..
Ukraine,UKR,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,1977,YR1977,..,..,..,..,..,16244,..,..,7.78803,..,..,1.83964,30.66063,..,..,..,..
